0,"Tell Dafana, Daphnae",30.5441666666667,32.31
1,"Tell el-Ahmar",29.0833333333333,34.1199999968211
2,"Umm Hassey (Abu Qerta)",30.5261111111111,31.85
3,"Tell Hassan Dawud",31.091356252,29.848665381
4,"Tabet Suweha",30.5519444444444,32.0972222222222
5,"Tell el-Maskhuta",30.0925,32.5665833333333
6,"Tell el-Shalufa, Tell Chalouf",30.9311111111111,32.3791666666667
7,"Tell Hebua (II), Tell Heboua (II)",31.0469444444444,32.5413888888889
8,"Tell el-Farama, Pelusium",31.027375585,29.833630795
9,"Elwet Abu Bari",30.8611111111111,32.3527777777778
10,"Tell Abou-Sayfi, Tell Abu-Seifa",30.9375,32.3661111111111
11,"Tell Hebua (I), Tell Heboua (I)",30.938857096,29.638640841
12,"Tell Dabuni",30.9275,32.4111111111111
13,"Tell el-Borg,Tell el-Bourg, Tell el-Burg",30.9607699,29.622772377
14,"El-Qasmiya",30.900658877,29.440366238
15,"Kom Makhura",30.9652777777778,32.4244444444444
16,"Tell el-Ghaba",29.0949999968211,34.1216666698456
17,"Umm Sedra",28.9333333333333,33.0583333333333
18,"Wadi el-Shallal",30.9844444444444,32.4738888888889
19,"Tell el-Kedwa, Tell Qedwa",31.353675718,30.102206429
20,"Abu-Qir – Nelson Island",29.4,33.1
21,"Wadi Haggia",30.9672222222222,32.4922222222222
22,"Tell el-Heir, Tell el-Herr",30.930501418,29.637169639
23,"Elwet Melassa",31.0483333333333,32.5616666666667
24,"Tell el-Makhzan",31.05208507,29.853822628
25,"Mutawah (a-b)",30.868717771,29.5207721
26,"El-Abaresh (a-b-c), El-Abarech",31.197665411,29.906423224
27,"Kom el-Dikka, Kom ed-Dikka, Roman Theatre",30.877584909,29.448611717
28,"Tell Sherfad",30.933335175,29.486666206
29,"Tell Mosghiya",31.2,29.89
30,"El-Bardisi",31.013552956,29.871737558
31,"Waqqad (II)",30.9699762,29.82892732
32,"Tabet el-Kandara – KM 48 Desert Road",29.318426,31.118336
33,"Abuet",31.206892551,29.912849077
34,"Alabaster Tomb",30.911538674,29.533846685
35,"Forn el-Fokhar",29.27791,31.078983
36,"El-Nawamis",31.211827959,29.915997527
